Participant_ID,Completion_Code,Sex,Age,Musician_type,Excerpt_filename,Filename,Type,Musician,Excerpt,Condition,ConditionCong,PC1,PC2,PC3,PC4,PC5,fact_PC1,fact_PC2,fact_PC3,fact_PC4,fact_PC5,fact_mdn_PC1,fact_mdn_PC2,fact_mdn_PC3,fact_mdn_PC4,fact_mdn_PC5,Liking,Expressivity,GEMMES,GEMMES_Value,GEMMES_Bin
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_In_T1,03_Mo_In_T1.mp4,Video,03,5MoWa,6In,4Incong,4,3,0.3769,-0.32607,0.74531,-0.1618,-0.93919,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Interior,6,1
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_In_T1,03_Mo_In_T1.mp4,Video,03,5MoWa,6In,4Incong,4,3,0.3769,-0.32607,0.74531,-0.1618,-0.93919,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,GEMMES_Wandering,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Pr_T2,03_Mo_Pr_T2.mp4,Video,03,5MoWa,2Pr,2Pr,6,7,0.4903,-0.68107,1.19423,0.32892,-0.34351,1Low,1Low,2High,1Low,1Low,2High,1Low,2High,2High,1Low,GEMMES_Flow,1,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Pr_T2,03_Mo_Pr_T2.mp4,Video,03,5MoWa,2Pr,2Pr,6,7,0.4903,-0.68107,1.19423,0.32892,-0.34351,1Low,1Low,2High,1Low,1Low,2High,1Low,2High,2High,1Low,GEMMES_Movement,1,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Pr_T2,03_Mo_Pr_T2.mp4,Video,03,5MoWa,2Pr,2Pr,6,7,0.4903,-0.68107,1.19423,0.32892,-0.34351,1Low,1Low,2High,1Low,1Low,2High,1Low,2High,2High,1Low,GEMMES_Force,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Pr_T2,03_Mo_Pr_T2.mp4,Video,03,5MoWa,2Pr,2Pr,6,7,0.4903,-0.68107,1.19423,0.32892,-0.34351,1Low,1Low,2High,1Low,1Low,2High,1Low,2High,2High,1Low,GEMMES_Interior,8,1
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Pr_T2,03_Mo_Pr_T2.mp4,Video,03,5MoWa,2Pr,2Pr,6,7,0.4903,-0.68107,1.19423,0.32892,-0.34351,1Low,1Low,2High,1Low,1Low,2High,1Low,2High,2High,1Low,GEMMES_Wandering,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Wa_T1,03_Mo_Wa_T1.mp4,Video,03,5MoWa,7Wa,3Cong,6,4,0.46781,-0.41459,0.97701,0.19993,-0.39574,1Low,1Low,2High,1Low,1Low,2High,1Low,2High,2High,1Low,GEMMES_Flow,3,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Wa_T1,03_Mo_Wa_T1.mp4,Video,03,5MoWa,7Wa,3Cong,6,4,0.46781,-0.41459,0.97701,0.19993,-0.39574,1Low,1Low,2High,1Low,1Low,2High,1Low,2High,2High,1Low,GEMMES_Movement,1,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Wa_T1,03_Mo_Wa_T1.mp4,Video,03,5MoWa,7Wa,3Cong,6,4,0.46781,-0.41459,0.97701,0.19993,-0.39574,1Low,1Low,2High,1Low,1Low,2High,1Low,2High,2High,1Low,GEMMES_Force,1,0
